tournament_name,winner_winners,winner_ue,winner_aces,winner_df,loser_winners,loser_ue,loser_aces,loser_df
French Open,38,48,6,4,33,39,3,1
French Open,52,32,12,1,12,24,1,1
French Open,37,14,5,0,23,37,2,1
French Open,18,21,1,3,25,30,4,4
French Open,21,12,7,2,8,14,1,1
French Open,14,16,0,1,30,45,4,3
French Open,29,33,3,1,39,44,4,3
French Open,24,29,1,1,23,26,1,2
French Open,15,14,1,0,11,35,2,2
French Open,24,11,7,1,18,22,0,2
French Open,23,31,6,3,30,45,3,3
French Open,11,15,2,2,16,35,2,3
French Open,37,38,15,2,23,22,3,3
French Open,24,13,3,1,11,20,3,2
French Open,33,38,5,3,28,34,3,4
French Open,27,13,8,1,14,12,2,1
French Open,37,37,6,1,21,31,0,4
French Open,29,34,8,4,22,28,2,3
French Open,33,33,3,2,16,26,0,1
French Open,44,28,11,6,43,25,5,0
French Open,33,30,4,3,8,11,0,3
French Open,51,38,8,2,18,27,4,2
French Open,34,46,3,1,54,60,9,5
French Open,41,22,10,2,17,24,6,2
French Open,40,21,8,1,20,27,2,2
French Open,15,27,1,0,35,52,0,2
French Open,53,37,13,2,35,36,18,6
French Open,28,28,5,2,27,42,5,3
French Open,61,67,7,8,42,55,5,6
French Open,58,43,24,4,51,52,14,4
French Open,36,25,1,1,29,30,8,4
French Open,34,22,2,3,46,45,4,2
French Open,31,31,11,3,26,35,6,4
French Open,36,25,11,5,37,36,4,8
French Open,57,41,1,7,47,58,12,7
French Open,15,11,3,1,8,20,0,1
French Open,77,90,4,2,39,40,3,1
French Open,29,28,10,5,30,44,3,6
French Open,29,54,5,4,49,72,6,9
French Open,23,17,10,0,22,46,3,4
French Open,54,68,9,6,30,46,3,7
French Open,55,38,7,5,59,48,10,7
French Open,45,52,6,6,69,57,7,9
French Open,42,32,9,2,23,26,5,4
French Open,54,71,6,5,52,81,1,6
French Open,24,19,3,0,38,51,8,6
French Open,28,22,2,4,33,48,10,8
French Open,18,12,6,1,28,54,6,1
French Open,27,24,5,3,19,40,6,4
French Open,41,35,9,2,18,28,2,2
French Open,33,23,6,1,57,80,14,10
French Open,31,21,13,4,20,44,3,2
French Open,42,55,10,0,41,54,5,8
French Open,45,50,13,5,26,42,3,4
French Open,42,38,5,2,51,44,13,5
French Open,36,53,9,4,36,66,4,0
French Open,35,35,7,4,18,35,4,1
French Open,31,13,6,1,33,27,10,2
French Open,31,19,13,2,38,40,6,1
French Open,53,56,4,3,28,40,4,2
French Open,70,32,21,1,50,47,13,0
French Open,36,57,2,4,35,51,6,5
French Open,46,28,4,1,49,51,8,4
French Open,64,49,6,2,44,35,7,1
French Open,44,47,7,8,22,39,3,7
French Open,68,47,11,1,70,39,8,1
French Open,51,52,17,9,83,50,14,5
French Open,28,33,7,2,10,44,3,7
French Open,76,71,16,4,87,86,6,8
French Open,70,80,20,3,59,56,20,7
French Open,56,44,15,0,36,38,8,1
French Open,80,63,14,5,40,60,17,10
French Open,44,53,3,3,38,60,3,3
French Open,69,65,13,9,45,36,8,4
French Open,57,56,8,2,36,52,8,5
French Open,39,31,17,2,18,30,5,2
French Open,49,39,11,4,39,38,6,4
