tournament_name,winner_winners,winner_ue,winner_aces,winner_df,loser_winners,loser_ue,loser_aces,loser_df
Wimbledon,30,19,8,4,19,13,4,2
Wimbledon,31,8,15,2,18,17,8,1
Wimbledon,41,27,13,4,36,33,15,3
Wimbledon,34,21,8,1,30,37,7,4
Wimbledon,31,35,8,4,28,38,3,7
Wimbledon,78,47,24,4,21,35,1,2
Wimbledon,59,45,15,7,43,24,6,3
Wimbledon,36,25,8,3,35,32,16,2
Wimbledon,45,21,16,4,20,23,4,5
Wimbledon,50,26,14,5,44,28,12,4
Wimbledon,44,28,14,2,30,24,8,4
Wimbledon,48,27,21,7,46,35,16,8
Wimbledon,49,32,11,4,37,13,9,0
Wimbledon,28,14,16,5,22,34,2,2
Wimbledon,34,17,8,2,18,15,8,4
Wimbledon,36,40,6,2,20,43,0,5
Wimbledon,37,12,8,1,26,12,5,2
Wimbledon,43,25,16,2,46,26,19,2
Wimbledon,44,26,13,7,33,39,7,8
Wimbledon,65,28,28,4,59,43,27,6
Wimbledon,31,20,18,1,22,19,8,4
Wimbledon,50,31,19,5,36,37,13,7
Wimbledon,59,25,30,4,45,45,13,12
Wimbledon,48,52,9,8,35,46,12,9
Wimbledon,47,30,2,2,51,31,4,5
Wimbledon,35,19,12,1,6,29,1,3
Wimbledon,28,13,1,3,44,38,10,4
Wimbledon,39,50,12,1,30,46,4,1
Wimbledon,56,38,11,3,54,34,22,8
Wimbledon,37,20,15,3,25,30,10,6
Wimbledon,26,20,1,3,37,29,14,4
Wimbledon,45,32,17,9,41,34,16,5
Wimbledon,56,40,11,4,34,32,5,5
Wimbledon,52,32,23,6,22,16,4,5
Wimbledon,43,22,6,2,25,22,9,5
Wimbledon,79,60,28,5,39,37,13,10
Wimbledon,37,21,13,5,21,33,3,6
Wimbledon,55,30,13,3,49,46,3,10
Wimbledon,14,11,1,1,11,13,2,2
Wimbledon,30,16,7,0,18,30,4,3
Wimbledon,51,34,9,4,33,30,4,0
Wimbledon,66,51,29,4,44,31,18,7
Wimbledon,35,26,15,0,54,40,15,1
Wimbledon,31,8,6,0,20,24,2,1
Wimbledon,43,23,19,1,19,27,6,5
Wimbledon,38,33,13,3,30,36,2,1
Wimbledon,58,31,20,3,44,26,5,2
Wimbledon,33,7,12,2,25,24,16,1
Wimbledon,100,53,45,10,71,33,41,2
Wimbledon,38,18,12,3,32,31,8,4
Wimbledon,32,16,15,2,29,25,8,3
Wimbledon,28,15,15,2,47,45,3,8
Wimbledon,48,30,14,3,49,42,11,6
Wimbledon,36,15,8,4,41,38,9,4
Wimbledon,39,32,10,6,54,44,31,4
Wimbledon,37,28,14,2,15,22,3,2
Wimbledon,51,24,16,4,32,27,8,5
Wimbledon,40,16,15,3,67,25,21,4
Wimbledon,54,44,14,5,42,53,12,3
Wimbledon,34,24,1,3,41,52,13,4
Wimbledon,39,39,17,3,22,27,1,3
Wimbledon,35,41,5,4,67,65,14,14
Wimbledon,83,50,48,6,47,44,12,7
Wimbledon,43,37,10,3,45,34,8,3
Wimbledon,68,31,24,2,64,41,34,7
Wimbledon,24,33,3,5,24,40,5,5
Wimbledon,39,40,12,4,47,25,14,3
Wimbledon,36,33,7,0,72,59,19,7
Wimbledon,43,47,14,6,74,61,29,5
Wimbledon,27,15,8,1,21,41,6,2
Wimbledon,29,15,14,2,31,28,17,2
Wimbledon,44,31,9,2,16,25,5,4
